id,Star,Bedrooms,Baths,neighbourhood_group,latitude,longitude,room_type,price,availability_365
11939050,No_Stars,1,1,Mitte,52.55101,13.34331,Private room,30,0
11940840,4.0,1,1,Mitte,52.55624,13.34969,Entire home/apt,45,0
12187857,4.68,1,1,Pankow,52.53587,13.4209,Entire home/apt,50,0
11952720,5.0,1,1,Steglitz - Zehlendorf,52.44788,13.34775,Entire home/apt,40,46
11953265,4.67,2,1,Charlottenburg-Wilm.,52.49533,13.2842,Entire home/apt,60,0
11955458,4.75,2,1,Charlottenburg-Wilm.,52.50268,13.30325,Entire home/apt,60,0
11960713,4.69,3,1,Pankow,52.58332328,13.4122421,Entire home/apt,110,1
12187968,No_Stars,3,1,Pankow,52.5764,13.42049,Entire home/apt,60,0
12194943,4.67,1,1,Friedrichshain-Kreuzberg,52.49199,13.42219,Entire home/apt,60,0
11961156,No_Stars,1,1,Friedrichshain-Kreuzberg,52.52192,13.43554,Entire home/apt,49,0
11962457,No_Stars,1,1,Neukölln,52.47354,13.45355,Private room,32,0
12216733,4.17,1,1,Friedrichshain-Kreuzberg,52.49246,13.43736,Entire home/apt,39,0
11963282,No_Stars,1,1,Treptow - Köpenick,52.46242,13.48361,Private room,25,0
11966507,5.0,1,1,Pankow,52.53267,13.40679,Entire home/apt,62,0
12221824,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49929,13.44256,Entire home/apt,77,0
11979357,4.05,1,1,Friedrichshain-Kreuzberg,52.51355,13.44499,Entire home/apt,57,0
12222364,4.82,1,1,Pankow,52.54973,13.41764,Private room,48,0
12226042,4.90,3,2,Reinickendorf,52.63834,13.29662,Entire home/apt,99,258
11981049,No_Stars,1,1,Reinickendorf,52.5732,13.35656,Private room,35,0
12226714,No_Stars,1,1,Friedrichshain-Kreuzberg,52.51478,13.46357,Private room,25,0
11989973,No_Stars,1,1,Mitte,52.53737,13.39736,Entire home/apt,60,0
12235427,4.50,1,1,Pankow,52.53707,13.41117,Entire home/apt,65,258
11995220,No_Stars,2,1,Friedrichshain-Kreuzberg,52.50046,13.40438,Entire home/apt,26,0
11998186,5.0,1,1,Friedrichshain-Kreuzberg,52.49508,13.424,Entire home/apt,185,35
12236066,3.33,2,1,Mitte,52.50925,13.34864,Entire home/apt,75,0
12000192,4.75,1,1,Pankow,52.53562,13.41877,Entire home/apt,150,185
12239313,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49863,13.46252,Entire home/apt,38,0
12002960,4.59,3,1,Mitte,52.53982162,13.39875698,Entire home/apt,288,256
12004875,4.64,1,1,Neukölln,52.48631,13.42428,Private room,40,3
12240254,No_Stars,1,1,Friedrichshain-Kreuzberg,52.48791,13.38591,Private room,450,0
12013507,4.79,1,1,Neukölln,52.41085,13.50482,Private room,37,147
12245034,4.83,2,1,Mitte,52.56005,13.33175,Private room,29,0
12014169,4.25,1,1,Mitte,52.52303,13.33086,Private room,25,0
12249699,No_Stars,1,1,Tempelhof - Schöneberg,52.46781,13.33809,Entire home/apt,100,0
12015050,4.88,1,1,Pankow,52.54302,13.42234,Entire home/apt,77,294
12015708,4.83,3,1,Pankow,52.54434,13.42272,Entire home/apt,194,314
12016215,No_Stars,1,1,Neukölln,52.49034,13.43445,Entire home/apt,49,0
12016452,4.80,1,1,Mitte,52.52483,13.40746,Entire home/apt,125,18
12263356,4.81,1,1,Mitte,52.52557,13.40787,Entire home/apt,60,351
12016809,4.40,1,1,Friedrichshain-Kreuzberg,52.49852,13.42716,Private room,30,0
12267570,No_Stars,3,1,Neukölln,52.46839,13.43895,Entire home/apt,125,0
12017389,No_Stars,1,1,Charlottenburg-Wilm.,52.50941,13.31431,Private room,25,0
12268009,No_Stars,1,1,Neukölln,52.47037,13.43634,Private room,35,0
12319085,4.99,1,1,Mitte,52.53483,13.39383,Entire home/apt,162,8
12017816,No_Stars,1,2,Lichtenberg,52.48091,13.52377,Private room,35,0
12323135,4.64,1,1,Pankow,52.52766,13.44942,Entire home/apt,45,198
12022307,No_Stars,1,1,Neukölln,52.46483,13.4381,Private room,30,0
12333516,No_Stars,1,1,Friedrichshain-Kreuzberg,52.50922,13.45893,Entire home/apt,90,0
12022642,4.81,1,1,Pankow,52.53619,13.43358,Entire home/apt,91,227
12334987,4.95,1,1,Charlottenburg-Wilm.,52.50161,13.30992,Private room,70,295
12023802,No_Stars,2,2,Friedrichshain-Kreuzberg,52.48638,13.39678,Entire home/apt,55,0
12035626,4.38,2,1,Charlottenburg-Wilm.,52.50268,13.30325,Entire home/apt,58,0
12335560,No_Stars,1,1,Charlottenburg-Wilm.,52.51129,13.24187,Entire home/apt,51,144
12038279,No_Stars,1,1,Charlottenburg-Wilm.,52.52474,13.28623,Entire home/apt,45,0
12336966,4.50,1,1,Tempelhof - Schöneberg,52.48958,13.3554,Entire home/apt,55,0
12044871,4.69,2,1,Charlottenburg-Wilm.,52.48738,13.32589,Entire home/apt,181,356
12046648,4.51,1,1,Mitte,52.53002167,13.40484047,Entire home/apt,204,256
12337676,4.95,1,1,Marzahn - Hellersdorf,52.53046,13.55442,Private room,48,59
12541792,4.36,3,1,Friedrichshain-Kreuzberg,52.51427,13.44885,Entire home/apt,316,213
12354622,4.82,1,1,Pankow,52.5467,13.40426,Entire home/apt,100,0
12542664,5.0,1,1,Neukölln,52.46825,13.43607,Entire home/apt,30,90
12548871,4.69,2,2,Mitte,52.50680161,13.42150974,Entire home/apt,306,239
12549511,4.86,1,1,Neukölln,52.47389,13.42451,Private room,100,23
12559061,5.0,3,2,Friedrichshain-Kreuzberg,52.48735,13.37941,Entire home/apt,251,153
12561249,No_Stars,2,1,Friedrichshain-Kreuzberg,52.49846,13.43125,Entire home/apt,50,0
12361630,No_Stars,1,1,Tempelhof - Schöneberg,52.4916,13.36777,Private room,27,0
12563142,4.94,1,1,Friedrichshain-Kreuzberg,52.52432,13.44664,Private room,120,0
12364609,No_Stars,1,1,Mitte,52.52454,13.33906,Private room,40,0
12567634,No_Stars,1,1,Pankow,52.64014,13.49445,Private room,16,0
12370160,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49566,13.43922,Private room,50,0
12575158,4.0,1,1,Tempelhof - Schöneberg,52.50183,13.35122,Entire home/apt,59,0
12575700,No_Stars,2,1,Charlottenburg-Wilm.,52.50859,13.30263,Entire home/apt,55,280
12597398,4.79,1,1,Friedrichshain-Kreuzberg,52.49547,13.39746,Private room,56,362
12374785,4.90,1,1,Pankow,52.5573,13.43064,Entire home/apt,100,0
12605374,4.62,1,2,Mitte,52.50708,13.37599,Private room,121,75
12621353,No_Stars,1,1,Friedrichshain-Kreuzberg,52.4889,13.42371,Private room,40,0
12375222,4.91,1,1,Mitte,52.5063,13.41735,Entire home/apt,201,129
12392274,4.86,1,1,Friedrichshain-Kreuzberg,52.50268,13.41817,Private room,78,346
12398605,4.79,2,1,Charlottenburg-Wilm.,52.50525,13.29473,Entire home/apt,120,295
12402130,4.89,1,1,Friedrichshain-Kreuzberg,52.49637,13.44571,Private room,25,0
12406884,5.0,1,1,Charlottenburg-Wilm.,52.53496,13.28717,Entire home/apt,52,275
12625592,No_Stars,2,1,Mitte,52.52947,13.40083,Entire home/apt,60,0
12415998,No_Stars,1,1,Friedrichshain-Kreuzberg,52.50622,13.46712,Entire home/apt,55,0
12426827,4.67,1,1,Friedrichshain-Kreuzberg,52.48955,13.42315,Private room,35,0
12439623,No_Stars,2,1,Neukölln,52.48619,13.42696,Entire home/apt,40,0
12443836,4.77,1,1,Friedrichshain-Kreuzberg,52.49465,13.40664,Entire home/apt,142,30
12639044,No_Stars,2,1,Mitte,52.53166,13.40156,Entire home/apt,50,0
12446784,4.33,1,1,Neukölln,52.48243,13.43931,Entire home/apt,70,0
12458181,4.57,1,1,Spandau,52.4521,13.12356,Private room,70,85
12468108,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49716,13.42362,Entire home/apt,39,0
12640741,4.94,2,1,Tempelhof - Schöneberg,52.4799,13.3758,Private room,75,0
12488930,4.76,Studio,1,Mitte,52.52788,13.34985,Entire home/apt,57,15
12641723,No_Stars,1,1,Friedrichshain-Kreuzberg,52.51815,13.47264,Entire home/apt,50,0
12659244,No_Stars,1,1,Friedrichshain-Kreuzberg,52.50169,13.43844,Private room,35,0
12497618,4.75,1,1,Mitte,52.52382,13.33612,Entire home/apt,45,0
12500246,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49028,13.39165,Private room,24,0
12500689,No_Stars,1,1,Mitte,52.5393,13.34898,Entire home/apt,50,0
12510155,5.0,1,1,Treptow - Köpenick,52.43702,13.50628,Entire home/apt,61,358
12530919,No_Stars,2,1,Tempelhof - Schöneberg,52.49483,13.3533,Entire home/apt,76,0
12675577,4.62,2,1,Pankow,52.53926086,13.42212963,Entire home/apt,203,273
12535986,No_Stars,1,1,Friedrichshain-Kreuzberg,52.49436,13.39795,Entire home/apt,40,0
12690476,4.75,1,1,Friedrichshain-Kreuzberg,52.50842,13.46537,Private room,28,0
13135169,4.75,1,1,Pankow,52.54335,13.41117,Private room,27,0
12690882,4.25,2,1,Friedrichshain-Kreuzberg,52.49188,13.41143,Entire home/apt,64,258
12691355,4.83,2,1,Neukölln,52.48283,13.42775,Entire home/apt,67,289
12693704,4.97,1,1,Friedrichshain-Kreuzberg,52.49179,13.41354,Entire home/apt,227,295
13138480,5.0,Studio,1,Neukölln,52.47416,13.44836,Entire home/apt,36,0
12697037,No_Stars,2,1,Pankow,52.5562,13.46401,Entire home/apt,65,0
13151266,4.60,1,1,Pankow,52.5474,13.42414,Entire home/apt,58,0
13160573,4.79,1,1,Treptow - Köpenick,52.44589,13.62913,Entire home/apt,80,282
12697841,No_Stars,1,1,Pankow,52.54943,13.41316,Entire home/apt,37,0
12702743,No_Stars,1,1,Mitte,52.5345663,13.38078407,Entire home/apt,135,321
13164723,4.75,Studio,1,Friedrichshain-Kreuzberg,52.51872,13.46589,Entire home/apt,45,0
13165152,4.67,1,1,Treptow - Köpenick,52.46097,13.51984,Entire home/apt,135,0
12706572,4.0,1,1,Friedrichshain-Kreuzberg,52.50028,13.46425,Private room,40,0
13178758,4.33,Studio,1,Tempelhof - Schöneberg,52.45842,13.379,Entire home/apt,79,0
13179993,4.51,2,1,Mitte,52.53123,13.34122,Entire home/apt,140,265
12709456,4.0,1,1,Pankow,52.55125,13.41703,Private room,42,0
13180619,5.0,1,1,Mitte,52.53023,13.33916,Entire home/apt,83,0
13182999,4.0,1,1,Charlottenburg-Wilm.,52.48521,13.32831,Entire home/apt,79,127
13191620,4.69,1,1,Friedrichshain-Kreuzberg,52.50236,13.45193,Entire home/apt,53,0
12715727,1.0,1,1,Mitte,52.53377,13.34625,Entire home/apt,22,0
13200588,4.73,1,1,Friedrichshain-Kreuzberg,52.50886,13.44552,Entire home/apt,130,0
13206007,4.93,1,1,Friedrichshain-Kreuzberg,52.49955,13.42706,Entire home/apt,60,46
12723428,4.53,1,1,Friedrichshain-Kreuzberg,52.50967,13.45462,Entire home/apt,113,53
13215295,4.95,1,1,Charlottenburg-Wilm.,52.4893,13.31117,Private room,40,34
12724627,4.69,1,1,Tempelhof - Schöneberg,52.49755,13.35122,Private room,42,0
13218631,4.90,1,1,Charlottenburg-Wilm.,52.51184,13.3096,Private room,46,41
12732196,4.25,2,1,Pankow,52.55252,13.40256,Entire home/apt,90,0
13229967,4.50,1,1,Neukölln,52.48972,13.42674,Private room,30,0
13231272,No_Stars,1,1,Friedrichshain-Kreuzberg,52.51435,13.46355,Private room,25,0
12747792,4.80,1,1,Pankow,52.53798,13.41964,Private room,55,0
12797079,5.0,Studio,1,Pankow,52.5437,13.42317,Entire home/apt,29,158
13231316,4.57,1,1,Mitte,52.54584,13.35999,Private room,18,0
13231476,4.85,1,1,Mitte,52.55135,13.37948,Private room,55,11
12800241,No_Stars,1,1,Mitte,52.52034,13.35205,Private room,50,0
13231481,4.76,2,1,Pankow,52.53277,13.40878,Entire home/apt,147,180
13237539,4.88,Studio,1,Neukölln,52.47218,13.45021,Entire home/apt,85,0
12837825,No_Stars,2,1,Mitte,52.53508,13.40338,Entire home/apt,135,0
13243503,4.96,1,1,Pankow,52.5651,13.4128,Private room,60,36
13254923,4.82,2,2,Charlottenburg-Wilm.,52.49398,13.29505,Entire home/apt,145,327
12839362,4.67,1,1,Neukölln,52.48543,13.43267,Entire home/apt,98,5
12843786,4.69,Studio,1,Mitte,52.54337,13.35619,Entire home/apt,98,114
13256017,4.95,1,1,Friedrichshain-Kreuzberg,52.49156,13.37725,Private room,59,42
12889362,No_Stars,1,1,Friedrichshain-Kreuzberg,52.48678,13.39767,Private room,50,0
13259790,4.55,1,1,Neukölln,52.48175,13.43109,Private room,34,4
12896946,No_Stars,1,1,Neukölln,52.46586,13.43848,Private room,30,0
13269000,3.80,1,1,Neukölln,52.47154,13.44489,Private room,30,0
12925435,5.0,1,1,Pankow,52.53509,13.4311,Entire home/apt,30,93
13269263,4.50,1,1,Mitte,52.54816,13.34935,Shared room,10,0
12935036,5.0,1,1,Friedrichshain-Kreuzberg,52.49134,13.3792,Private room,68,0
13271837,No_Stars,1,1,Friedrichshain-Kreuzberg,52.51681,13.44535,Entire home/apt,130,0
13272210,No_Stars,1,1,Neukölln,52.47675,13.43732,Private room,14,0
13276162,4.94,2,1,Steglitz - Zehlendorf,52.42371,13.20361,Entire home/apt,170,255
12949023,No_Stars,2,1,Neukölln,52.4746,13.42686,Private room,45,0
12961224,5.0,2,1,Pankow,52.54804,13.40369,Entire home/apt,299,9
13277599,5.0,1,1,Tempelhof - Schöneberg,52.45621,13.38277,Private room,45,0
12962190,4.60,2,1,Tempelhof - Schöneberg,52.48142,13.35815,Entire home/apt,61,0
13284344,4.40,1,1,Treptow - Köpenick,52.46097,13.51984,Entire home/apt,106,0
12967814,4.99,1,1,Mitte,52.5247,13.3529,Private room,94,107
13289691,4.50,1,1,Neukölln,52.48571,13.44933,Entire home/apt,35,0
12970291,4.78,1,1,Neukölln,52.47299,13.42405,Private room,31,75
12979677,4.52,3,1,Mitte,52.53348,13.33976,Entire home/apt,120,245
13302261,No_Stars,1,1,Tempelhof - Schöneberg,52.46714,13.33826,Entire home/apt,80,299
13306131,4.71,2,1,Mitte,52.52236,13.40014,Entire home/apt,197,16
12981171,No_Stars,1,1,Friedrichshain-Kreuzberg,52.51742,13.45599,Private room,23,0
13307567,5.0,4,2,Lichtenberg,52.47871,13.51488,Entire home/apt,160,0
12985105,4.71,1,1,Treptow - Köpenick,52.44704,13.50579,Private room,37,199
13312710,5.0,1,1,Neukölln,52.48143,13.43338,Entire home/apt,75,0
12986657,3.33,1,1,Tempelhof - Schöneberg,52.49887,13.36532,Private room,20,0
13320037,4.95,3,1,Mitte,52.52874,13.38034,Entire home/apt,357,210
13010994,4.82,1,1,Neukölln,52.48966,13.42797,Entire home/apt,90,52
13331342,4.92,4,2,Pankow,52.5557,13.43748,Entire home/apt,250,32
13012064,No_Stars,1,1,Pankow,52.54026,13.41977,Shared room,98,0
13336061,4.90,2,1,Neukölln,52.48144,13.42575,Entire home/apt,95,361
13027547,5.0,1,1,Reinickendorf,52.6368,13.29466,Private room,31,335
13345985,4.91,1,1,Steglitz - Zehlendorf,52.46407,13.31102,Private room,40,34
13029305,4.70,1,1,Mitte,52.50051,13.36599,Private room,65,0
13351032,5.0,1,1,Pankow,52.53778,13.42684,Entire home/apt,50,0
13357121,4.67,2,1,Mitte,52.5325202,13.40520941,Entire home/apt,111,38
13042917,4.82,1,1,Friedrichshain-Kreuzberg,52.5191,13.46175,Private room,45,0
13358868,4.81,1,1,Treptow - Köpenick,52.42641,13.56809,Private room,40,45
